id,cue,t_start,t_end,duration_sec,spoken,visual_mode,text_graphic_type,text_graphic_text,text_graphic_style,artifact_object,artifact_story_link,artifact_preference,editorial_intent,people,situation,date_from,date_to,location,search_queries,avoid,media_type,reuse_id,priority,status
m012,12,78.86,85.6,6.74,"It's also hard to argue that it's not his best work. It reminds me of a story, a story that was",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m013,13,85.6,90.74,5.14,well known by people like Bon. It was known by absolutely anyone in the rock and roll scene in the,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m014,14,90.74,99.14,8.4,"60s and 70s. Picture at this, it's 1931 in Mississippi. It's the dead of night. Nothing but the heat,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m015,15,99.42,105.72,6.3,"insects, and a lonely dirt road intersection. A young musician stands there with a guitar. His name",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m016,16,105.72,112.06,6.34,"is Robert Johnson. He's got a burning hunger to be a great player and for fame. Just then,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m017,17,112.06,118.04,5.98,"a dark figure steps out of the blackness. It takes the guitar, tunes it, plays something",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m018,18,118.04,125.8,7.76,"impossible. It plays something impossibly good, then hands the guitar back and says, now it's yours.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m019,19,126.74,133.06,6.32,"But understand kid, it ain't free. Everybody knows that Robert Johnson sold his soul to the devil",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m020,20,133.06,140.32,7.26,"for immortality. He came back different, transformed. The other musicians were stunned. He now had",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m021,21,140.32,147.78,7.46,supernatural ability on the guitar in otherworldly voice. The devil also promised him fame. But Johnson,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m022,22,147.78,156.08,8.3,"died early before seeing it happen. He did become a legend just only after death. Take the 27 club,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m023,23,156.66,163.2,6.54,"Jimmy Hendrix, Janice Chaplin, Jim Morrison, Kurt Cobain, and many others. Same equation,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m024,24,163.6,169.1,5.5,"they traded something for greatness, for art. Some might say they sold their souls for fame.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m025,25,169.62,171.74,2.12,"Well, they certainly got their money's worth.",artifact,,,,vinyl record on turntable,Rock album culture,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: vinyl record on turntable,1975,1985,,vinyl record spinning turntable 1970s | LP record needle drop,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m026,26,172.48,178.94,6.46,Bond wasn't 27. He was 33 when he died. But the bargain doesn't care about birthdays. It cares,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m027,27,178.94,187.26,8.32,"about cost. And the devil always gets his due. So who is the devil? Well, for many, he's found at",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m028,28,187.26,195.3,8.04,"the tip of a hypodermic needle. Yup, heroin. Legend has it that it can make artists feel invulnerable,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m029,29,195.3,202.54,7.24,"lucid, insulated, and brilliant until it takes everything back with interest. That's the bargain",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m030,30,202.54,209.5,6.96,in chemical form. Let's stop pretending this would be impossible. If you like music from the 60s,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m031,31,209.5,214.7,5.2,"through the 90s, check your record collection. Most likely a lot of the artists you listened to were",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m032,32,214.7,220.88,6.18,"in the grips of that substance during their most creative periods. Some survived, some paid the price.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m033,33,221.42,227.4,5.98,Late 70s music culture was saturated with heroin. It wasn't fringe. It wasn't rare.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m034,34,227.92,232.92,5.0,"It moved through elite rooms, working bands, after parties, and studio circles.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m035,35,233.58,238.76,5.18,Some of the biggest artists in modern music have openly talked about it. John Lennon talked,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m036,36,238.76,245.08,6.32,about it. Eric Clapton lived it. Lou Reed built songs out of it. Keith Richards survived it.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m037,37,245.08,249.76,4.68,It's not a fantasy. It's documented rock history. So the question is not,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m038,38,249.76,254.64,4.88,would an artist like Bond Scott ever have been around heroin. Of course he would.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,Bon Scott|vocalist,Bon Scott historical photograph 1978-1981,1978,1981,,Bon Scott 1979 photograph | Bon Scott AC/DC 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m039,39,255.0,260.24,5.24,"The real question is whether in that final stretch, he crossed from proximity into experimentation",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m040,40,260.82,267.2,6.38,"or even dependency. Given the era, the access, the circles, the schedule, and the pressure,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m041,41,267.74,277.64,9.9,"hmm, you decide. Now the death itself. February 1980, London, night out, drinking. He was left in a car,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m042,42,278.0,284.1,6.1,"overnight, found unresponsive the next day. Official cause, acute alcohol poisoning.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m043,43,285.12,289.58,4.46,"Here's what bothers people. In a case this culturally and commercially important,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m044,44,289.82,294.7,4.88,the public facing record feels thinner than the legend around it. He drank too much.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m045,45,295.26,300.9,5.64,That sentence may be true at one level. It may also be incomplete and less plausible than the,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m046,46,300.9,306.56,5.66,alternative. Bond was a veteran drinker after all. And why did his friend leave him in a car,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m047,47,306.56,311.86,5.3,on a winter night? London nights in February are freezing. Why wasn't he checked on until the,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m048,48,311.86,317.82,5.96,afternoon the next day? It doesn't make sense. It leaves a lot of questions unanswered.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m049,49,318.7,324.52,5.82,"So if it was a heroin overdose, why would they have covered it up? Why would anyone prefer the",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m050,50,324.52,332.12,7.6,"alcohol story? Because it's 1980. In 1980, in media narratives, heroin was tied to nightlife",historical,,,,,,,Year anchor — period news or studio dated 1980.,AC/DC|band,1980 music press or studio session dated 1980,1980,1980,,AC/DC 1980 studio | music magazine 1980 rock,courtroom | jury box | office chair | cork board | stock explainer,photo,,medium,needed
m051,51,332.12,338.96,6.84,"subcultures that mainstream rock audiences viewed as alien, like disco, queer, and art scene spaces.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m052,52,339.62,345.98,6.36,And that stigma made the story commercially explosive. ACDC was trying to further conquer the,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m053,53,345.98,351.16,5.18,"American market. You have to understand their demographic at that moment. Working class,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m054,54,351.16,359.88,8.72,"mainstream, suburban, beer, denim, v8s. That crowd was explicitly anti-disco and suspicious of",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m055,55,359.88,366.74,6.86,"art scene posturing. And in the public imagination of that era, heroin read as downtown junkies,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m056,56,367.06,375.48,8.42,"disco bathrooms, punk squads, self-destruction, and gay. So a heroin narrative around Bond would",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m057,57,375.48,382.42,6.94,not just be bad press. It would feel like cultural betrayal. ACDC were just about to put out,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m058,58,382.42,388.06,5.64,"back in black. The thought might have been, who's gonna buy a back in black if Bond Scott just",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,Bon Scott|vocalist; AC/DC|band,Bon Scott historical photograph 1978-1981,1978,1981,,Bon Scott 1979 photograph | Bon Scott AC/DC 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m059,59,388.06,394.9,6.84,"died like a velvet underground groupie? Look, in 1980, radio gatekeepers were conservative.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m060,60,395.54,401.96,6.42,Advertisers were risk averse. Program directors would have backed away fast. A heroin story could,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m061,61,401.96,408.56,6.6,"freeze momentum instantly. Just five months after his death, you saw back in black in every record",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m062,62,408.56,415.4,6.84,store in America. Fifty million copies sold. That's a lot of money. You don't need a secret,artifact,,,,gold / platinum award disc,Back in Black sales milestone,photo,"Artifact: sales award object — tight on disc/plaque, not band portrait.",,Inanimate: gold / platinum award disc,1980,1982,,gold record award disc close up | platinum album plaque 1980s,people faces prominent | stock explainer | unrelated product,photo,,medium,artifact
m063,63,415.4,422.92,7.52,committee to cover it up. You need self-preservation. You need everyone to choose the least explosive,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m064,64,422.92,429.34,6.42,"explanation. So given all this, did Bond Scott know that he was going to die?",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,Bon Scott|vocalist,Bon Scott historical photograph 1978-1981,1978,1981,,Bon Scott 1979 photograph | Bon Scott AC/DC 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m065,65,429.34,436.54,7.2,I think he heard the bill coming due. I think he kept playing. He kept walking. The devil,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m066,66,436.54,443.46,6.92,"hot on his heels, ready to collect. And we consumed it all as entertainment. Either way,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m067,67,443.46,448.8,5.34,play highway to hell tonight. Loud. Then tell me he didn't know.,historical,,,,,,,Highway to Hell era live — peak Bon Scott stage energy.,Bon Scott|vocalist; AC/DC|band,AC/DC Highway to Hell tour live performance 1979,1979,1979,,AC/DC Highway to Hell tour 1979 | Bon Scott Highway to Hell live 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m068,68,448.8,450.8,2.0,,effect_only,,,,,,,"2s black tail after final VO cue (m067) — picture hold only; master audio ends with m067, no VO shift on m001–m067.",,Black plate (effect-only tail),,,,,,generated,,high,needed
